AIP8;8;AdjectiveInflection;pt;A_8;[8] -or/eira -- cantador/cantadores, cantadeira/cantadeiras + superlatif;
AIP9;9;AdjectiveInflection;pt;A_9;[9] -eu/eia -- europeu/europeus, europeia/europeias;
AIR0;1;AdjectiveInflection;rm;1;réguliers et adjs en -gl et -gn et -gen (cauld, nausch, vegl);cauld, nausch, vegl, cert, cuort, muntagnard, liung, sogn, pign
AIR1;2;AdjectiveInflection;rm;2;syncope -el > -la, -er > -ra, -en > na, -al > la, -an > na (giuven, pusseivel);giuven, pusseivel, pauper, naven, malnizeivel, viscal
AIR10;15;AdjectiveInflection;rm;15;multibase avec redoublement de la consonne finale (tschocs/tschiec/tschocca);tschocs/tschiec/tschocca
AIR2;3;AdjectiveInflection;rm;3;invariables (bunmarcau, aparti, oranscha);bunmarcau, aparti, endretg, oranscha, lila, rosa, davos, sisum
AIR3;4;AdjectiveInflection;rm;4;féminin palatalisé comme forme alternative (neidi, schelb, selbadi, tievi);neidi, schelb, selbadi, tievi
AIR4;5;AdjectiveInflection;rm;5;redoublement de la consonne finale et n > nt (plat, scret, con);rut, plat, scret, con, ton, tanien
AIR5;8;AdjectiveInflection;rm;8;participe passé -au/-ada (cumplicau, divorziau);cumplicau, divorziau
AIR6;9;AdjectiveInflection;rm;9;participe passé -iu/-ida (deprimiu, preferiu);deprimiu, preferiu
AIR7;11;AdjectiveInflection;rm;11;multibase "régulier" (storts/stiert, buns/bien, bials/bi);storts/stiert, schliats/schliet, macorts/mitgiert, buns/bien, bials/bi, biars/bi
AIR8;16;AdjectiveInflection;rm;16;comme 11, mais la racine 1 termine en -s (gross/gries);gross/gries
AIR9;12;AdjectiveInflection;rm;12;multibase avec syncope (nobels/niebel, cotschens/tgietschen);nobels/niebel, cotschens/tgietschen
AIS1;1;AdjectiveInflection;es;A_1;1.-o, -a, -os, -as (blanco);
AIS2;2;AdjectiveInflection;es;A_2;2.-, -, -es, -es (feliz);
AIS3;3;AdjectiveInflection;es;A_3;3.-, -a, -es, -as (holgazan);
AIS4;4;AdjectiveInflection;es;A_4;4.-, -, -s, -s (marroquí);
AIS5;5;AdjectiveInflection;es;A_5;5.invariable;
AIS6;6;AdjectiveInflection;es;A_6;6.-, -, -s, -s regular (entrante(s), nacionalista(s));
ALI0;0;AuxiliaryType;la;esse;esse;
AUE0;0;AuxiliaryType;en;be;be;
AUE1;1;AuxiliaryType;en;have;have;
AUE2;2;AuxiliaryType;en;get;get;
AUE3;3;AuxiliaryType;en;let;let;
AUF0;0;AuxiliaryType;fr;etre;etre;
AUF1;1;AuxiliaryType;fr;avoir;avoir;
AUF18;18;AuxiliaryType;fr;êtreVerb;êtreVerb;pour marquer le verbe être
AUG0;0;AuxiliaryType;de;sein;sein;
AUG1;1;AuxiliaryType;de;haben;haben;
AUG2;2;AuxiliaryType;de;werden;werden;
AUI0;0;AuxiliaryType;it;essere;essere;
AUI1;1;AuxiliaryType;it;avere;avere;
AUI2;2;AuxiliaryType;it;venire;venire;
AUI3;3;AuxiliaryType;it;andare;andare;
AUP0;0;AuxiliaryType;pt;haverAuxiliary;haverAuxiliary;
AUP1;1;AuxiliaryType;pt;terAuxiliary;terAuxiliary;
AUP2;2;AuxiliaryType;pt;serAuxiliary;serAuxiliary;
AUS0;0;AuxiliaryType;es;haberAuxiliary;haberAuxiliary;
AUS1;1;AuxiliaryType;es;serAuxiliary;serAuxiliary;
AUS2;2;AuxiliaryType;es;estarAuxiliary;estarAuxiliary;
AVE25;25;AdverbFeature;fr;comparatifPlus;comparatifPlus;
AVE26;26;AdverbFeature;fr;comparatifMoins;comparatifMoins;
AVF0;0;AdverbFeature;;advInversion;Inversion;permet l'inversion du sujet: sans doute faut-il¿
AVF1;1;AdverbFeature;;advCPque;CP;heureusement qu'il¿, never mind that
AVF2;2;AdverbFeature;;negativePolarity;negativePolarity;not yet
AVF27;25;AdverbFeature;en;superlativeMost;superlativeMost;
AVF28;26;AdverbFeature;en;superlativeLeast;superlativeLeast;
AVF29;27;AdverbFeature;fr;comparatifAussi;comparatifAussi;
AVF3;3;AdverbFeature;;advPostPosition;advPostPosition;long enough
AVF30;28;AdverbFeature;fr;comparatifAutant;comparatifAutant;
AVF6;6;AdverbFeature;;advPour;advPour;
BEP0;0;BasicPreposition;en;about;about;
BEP-1;-1;BasicPreposition;;pOther;notABasicPrep;i.e. not a basic preposition
BEP1;30;BasicPreposition;en;around;around;
BEP10;6;BasicPreposition;en;from;from;
BEP11;8;BasicPreposition;en;in;in;
BEP12;9;BasicPreposition;en;into;into;
BEP13;7;BasicPreposition;en;like;like;
BEP14;12;BasicPreposition;en;on;on;
BEP15;10;BasicPreposition;en;of;of;
BEP16;11;BasicPreposition;en;off;off;
BEP17;31;BasicPreposition;en;onto;onto;
BEP18;13;BasicPreposition;en;over;over;
BEP19;26;BasicPreposition;en;outOf;out of;
BEP2;2;BasicPreposition;en;after;after;
BEP20;29;BasicPreposition;en;past;past;
BEP21;25;BasicPreposition;en;among;among;
BEP22;22;BasicPreposition;en;against;against;
BEP23;15;BasicPreposition;en;since;since;
BEP24;16;BasicPreposition;en;till;till;
BEP25;14;BasicPreposition;en;to;to;
BEP26;24;BasicPreposition;en;through;through;
BEP27;33;BasicPrepositions;en;toward;toward;
BEP28;17;BasicPreposition;en;under;under;
BEP29;19;BasicPreposition;en;until;until;
BEP3;21;BasicPreposition;en;as;as;
BEP30;18;BasicPreposition;en;up;up;
BEP31;23;BasicPreposition;en;upon;upon;
BEP32;20;BasicPreposition;en;with;with;
BEP33;32;BasicPrepositions;en;within;within;
BEP4;1;BasicPreposition;en;at;at;
BEP5;28;BasicPreposition;en;behind;behind;
BEP6;27;BasicPreposition;en;between;between;
BEP7;5;BasicPreposition;en;for;for;
BEP8;3;BasicPreposition;en;by;by;
BEP9;4;BasicPreposition;en;down;down;
BFP0;0;BasicPreposition;fr;a;à;
BFP1;18;BasicPreposition;fr;aBoutDe;à bout de;
BFP10;15;BasicPreposition;fr;envers;envers;
BFP11;16;BasicPreposition;fr;devant;devant;
BFP12;19;BasicPreposition;fr;autour;autour;
BFP13;1;BasicPreposition;fr;avant;avant;
BFP14;11;BasicPreposition;fr;par;par;
BFP15;9;BasicPreposition;fr;sous;sous;
BFP16;7;BasicPreposition;fr;pour;pour;
BFP17;8;BasicPreposition;fr;sans;sans;
BFP18;10;BasicPreposition;fr;sur;sur;
BFP19;14;BasicPreposition;fr;vers;vers;
BFP2;12;BasicPreposition;fr;avec;avec;
BFP3;13;BasicPreposition;fr;comme;comme;
BFP4;2;BasicPreposition;fr;contre;contre;
BFP5;3;BasicPreposition;fr;dans;dans;
BFP6;4;BasicPreposition;fr;de;de;
BFP7;5;BasicPreposition;fr;en;en;
BFP8;17;BasicPreposition;fr;enRaisonDe;en raison de;
BFP9;6;BasicPreposition;fr;entre;entre;
BGP0;31;BasicPreposition;de;pAls;als;
BGP1;0;BasicPreposition;de;pAn;an;
BGP10;21;BasicPreposition;de;pGegenüber;gegenüber;
BGP11;22;BasicPreposition;de;pGemäss;gemäss;
BGP12;23;BasicPreposition;de;pHinter;hinter;
BGP13;7;BasicPreposition;de;pIn;in;
BGP14;8;BasicPreposition;de;pMit;mit;
BGP15;9;BasicPreposition;de;pNach;nach;
BGP16;24;BasicPreposition;de;pNeben;neben;
BGP17;10;BasicPreposition;de;pOb;ob;
BGP18;11;BasicPreposition;de;pOhne;ohne;
BGP19;12;BasicPreposition;de;pSeit;seit;
BGP2;1;BasicPreposition;de;pAuf;auf;
BGP20;25;BasicPreposition;de;pStatt;statt;
BGP21;26;BasicPreposition;de;pTrozt;trozt;
BGP22;13;BasicPreposition;de;pÜber;über;
BGP23;14;BasicPreposition;de;pUm;um;
BGP24;15;BasicPreposition;de;pUnter;unter;
BGP25;16;BasicPreposition;de;pVon;von;
BGP26;17;BasicPreposition;de;pVor;vor;
BGP27;27;BasicPreposition;de;pWegen;wegen;
BGP28;28;BasicPreposition;de;pWider;wider;
BGP29;18;BasicPreposition;de;pZu;zu;
BGP3;2;BasicPreposition;de;pAus;aus;
BGP30;29;BasicPreposition;de;pZufolge;zufolge;
BGP31;30;BasicPreposition;de;pZwischen;zwischen;
BGP4;19;BasicPreposition;de;pAusser;ausser;
BGP5;3;BasicPreposition;de;pBei;bei;
BGP6;4;BasicPreposition;de;pDurch;durch;
BGP7;20;BasicPreposition;de;pEntsprechend;entsprechend;
BGP8;5;BasicPreposition;de;pFür;für;
BGP9;6;BasicPreposition;de;pGegen;gegen;
BIE3;3;BilingualFeature;en;byPP;byPP;
BIF0;0;BilingualFeature;;negation;negation;e.g. irrelevant <-> NON pertinent
BIF1;1;BilingualFeature;;passive;passive;
BIF10;10;BilingualFeature;;adjectifNominalisé;adjectifNominalisé;
BIF11;11;BilingualFeature;;participePresent;participePrésent;bewundernd <-> admiratif
BIF12;12;BilingualFeature;;pronominalReading;pronominalReading;
BIF13;13;BilingualFeature;;causative;causative;turn (v.t.) -> faire tourner
BIF14;14;BilingualFeature;en;again;Verb again;focus again
BIF2;2;BilingualFeature;;pluralForm;pluralForm;
BIF3;3;BilingualFeature;fr;àPP;àPP;
BIF4;4;BilingualFeature;fr;avecPP;avecPP;
BIF5;5;BilingualFeature;fr;dePP;dePP;
BIF6;6;BilingualFeature;fr;enPP;enPP;e.g. messy <-> EN désordre
BIF7;7;BilingualFeature;fr;parPP;parPP;
BIF8;8;BilingualFeature;fr;sansPP;sansPP;
BIF9;9;BilingualFeature;es;enteAdverb;enteAdverb;adjectif féminin + ente
BIP0;1;BasicPreposition;it;aP;a;
BIP1;9;BasicPreposition;it;altroP;altro;
BIP10;13;BasicPreposition;it;proP;pro;
BIP11;11;BasicPreposition;it;senzaP;senza;
BIP12;15;BasicPreposition;it;sottoP;sotto;
BIP13;5;BasicPreposition;it;suP;su;
BIP14;7;BasicPreposition;it;traP;tra;
BIP15;16;BasicPreposition;it;versoP;verso;
BIP16;12;BasicPreposition;it;viaP;via;
BIP2;10;BasicPreposition;it;comeP;come;
BIP3;4;BasicPreposition;it;conP;con;
BIP4;14;BasicPreposition;it;controP;contro;
BIP5;2;BasicPreposition;it;daP;da;
BIP6;0;BasicPreposition;it;diP;di;
BIP7;8;BasicPreposition;it;fraP;fra;
BIP8;3;BasicPreposition;it;inP;in;
BIP9;6;BasicPreposition;it;perP;per;
BLP0;0;BasicPreposition;la;abP;ab;petere ab, accipere ab, prohibere ab, dividere ab, poscere ab
BLP1;1;BasicPreposition;la;adP;ad;hortari ad, pertinere ad
BLP2;2;BasicPreposition;la;cumP;cum;pugnare cum, certare cum, loqueri cum
BLP3;3;BasicPreposition;la;deP;de;celare aliquem de aliqua re, gratulari alicui de aliqua re
BLP4;4;BasicPreposition;la;exP;ex;superesse ex, quaerere ex
BLP5;5;BasicPreposition;la;inP;in;animadvertere in (+ acc), versari in (+ abl)
BLP6;6;BasicPreposition;la;proP;pro;dicere pro
BPP0;0;BasicPreposition;pt;a;a;
BPP1;1;BasicPreposition;pt;ante;ante;
BPP10;9;BasicPreposition;pt;em;em;
BPP11;10;BasicPreposition;pt;entre;entre;
BPP12;11;BasicPreposition;pt;para ;para ;
BPP13;12;BasicPreposition;pt;perante;perante;
BPP14;13;BasicPreposition;pt;por;por;
BPP15;14;BasicPreposition;pt;sem;sem;
BPP16;15;BasicPreposition;pt;sob;sob;
BPP17;16;BasicPreposition;pt;sobre;sobre;
BPP18;17;BasicPreposition;pt;trás;trás;
BPP2;5;BasicPreposition;pt;após;após;
BPP3;2;BasicPreposition;pt;até;até;
BPP4;3;BasicPreposition;pt;baixo;baixo;
BPP5;4;BasicPreposition;pt;com;com;
BPP6;18;BasicPreposition;pt;como;como;
BPP7;6;BasicPreposition;pt;contra;contra;
BPP8;7;BasicPreposition;pt;de;de;
BPP9;8;BasicPreposition;pt;desde;desde;
BRP0;0;BasicPreposition;rm;a;a;
BRP1;1;BasicPreposition;rm;cun;cun;
BRP2;2;BasicPreposition;rm;da;da;
BRP3;3;BasicPreposition;rm;en;en;
BRP4;4;BasicPreposition;rm;per;per;
BRP5;5;BasicPreposition;rm;sin;sin;
