serait;221000271;211000094;1;1;3;8;0;8388610;1;1528;;s^rè;t;;;;
serions;221000272;211000094;1;2;3;16;0;8388610;1;30;;s^rïô;z;;;;
seriez;221000273;211000094;1;3;3;32;0;8388610;1;11;;s^rïé;z;;;;
seraient;221000274;211000094;1;2;3;64;0;8388610;1;371;;s^rè;t;;;;
sois;221000275;211000094;1;1;3;6;0;6291458;1;16;;swa;z;;;;
soit;221000276;211000094;1;1;3;8;0;4194306;1;1185;;swa;t;;;7.5.2014 09:02:27;LINGPRD
soyons;221000277;211000094;1;2;3;16;0;6291458;1;32;;swaïô;z;;;;
soyez;221000278;211000094;1;3;3;32;0;6291458;1;12;;swaïé;z;;;;
soient;221000279;211000094;1;2;3;64;0;4194306;1;504;;swa;^t;;;;
fusse;221000280;211000094;1;1;3;2;0;4194308;1;0;;fys;;;;;
fusses;221000281;211000094;1;1;3;4;0;4194308;1;0;;fys;z;;;;
fût;221000282;211000094;1;1;3;8;0;4194308;17825793;33;;fy;t;;;;
fussions;221000283;211000094;1;2;3;16;0;4194308;1;0;;fysïô;z;;;;
fussiez;221000284;211000094;1;3;3;32;0;4194308;1;0;;fysïé;z;;;;
fussent;221000285;211000094;1;2;3;64;0;4194308;1;8;;fys;^t;;;;
été;221000286;211000094;1;3;3;72;0;1048640;17825793;7824;;été;;;;;
étant;221000287;211000094;1;3;3;72;0;1048608;65537;501;;étâ;t;;;;
faire;221000421;211000101;1;3;3;126;0;1048577;65539;4998;;fèr;;;;;
fais;221000422;211000101;1;1;3;6;0;1048578;3;111;;fè;z;;;9.12.2003 09:57:58;LINGPRD
fait;221000423;211000101;1;1;3;8;0;1048578;30474243;0;0;fè;t;;;4.11.2011 16:36:16;WEHRLI
faisons;221000424;211000101;1;2;3;16;0;3145730;3;114;;f^zô;z;;;15.11.2001 18:21:09;GOLDMAN
faites;221000425;211000101;1;2;3;32;0;3145730;9437187;56;;fèt;z;;;13.9.2004 13:50:18;WEHRLI
font;221000426;211000101;1;2;3;64;0;1048578;3;1068;;fô;t;;;;
faisais;221000427;211000101;1;1;3;6;0;1048580;3;21;;f^zè;z;;;15.11.2001 18:21:09;GOLDMAN
faisait;221000428;211000101;1;1;3;8;0;1048580;3;366;;f^zè;t;;;15.11.2001 18:21:09;GOLDMAN
faisions;221000429;211000101;1;2;3;16;0;1048580;3;13;;f^zïô;z;;;15.11.2001 18:21:09;GOLDMAN
faisiez;221000430;211000101;1;3;3;32;0;1048580;3;0;;f^zïé;z;;;23.11.2001 18:53:07;GAUDINAT
faisaient;221000431;211000101;1;2;3;64;0;1048580;3;105;;f^zè;t;;;15.11.2001 18:21:09;GOLDMAN
fis;221000432;211000101;1;1;3;6;0;1048584;3;25;;fi;z;;;;
fit;221000433;211000101;1;1;3;8;0;1048584;3;86;;fi;t;;;;
fîmes;221000434;211000101;1;2;3;16;0;1048584;3;0;;fim;z;;;;
fîtes;221000435;211000101;1;3;3;32;0;1048584;3;0;;fit;z;;;;
firent;221000436;211000101;1;2;3;64;0;1048584;3;25;;fir;^t;;;;
ferai;221000437;211000101;1;1;3;2;0;1048592;3;17;;f^ré;;;;;
feras;221000438;211000101;1;1;3;4;0;1048592;3;2;;f^ra;z;;;;
fera;221000439;211000101;1;1;3;8;0;1048592;3;358;;f^ra;;;;;
ferons;221000440;211000101;1;2;3;16;0;1048592;3;23;;f^rô;z;;;;
ferez;221000441;211000101;1;3;3;32;0;1048592;3;12;;f^ré;z;;;;
feront;221000442;211000101;1;2;3;64;0;1048592;3;125;;f^rô;t;;;;
ferais;221000443;211000101;1;1;3;6;0;8388610;3;12;;f^rè;z;;;;
ferait;221000444;211000101;1;1;3;8;0;8388610;3;149;;f^rè;t;;;;
ferions;221000445;211000101;1;2;3;16;0;8388610;3;7;;f^rïô;z;;;;
feriez;221000446;211000101;1;3;3;32;0;8388610;3;1;;f^rïé;z;;;;
feraient;221000447;211000101;1;2;3;64;0;8388610;3;41;;f^rè;t;;;;
fasse;221000448;211000101;1;1;3;10;0;4194306;3;137;;fas;;;;;
fasses;221000449;211000101;1;1;3;4;0;4194306;3;1;;fas;z;;;;
fassions;221000450;211000101;1;2;3;16;0;4194306;3;4;;fasïô;z;;;;
fassiez;221000451;211000101;1;3;3;32;0;4194306;3;4;;fasïé;z;;;;
fassent;221000452;211000101;1;2;3;64;0;4194306;3;52;;fas;^t;;;;
fisse;221000453;211000101;1;1;3;2;0;4194308;3;0;;fis;;;;;
fisses;221000454;211000101;1;1;3;4;0;4194308;3;0;;fis;z;;;;
fît;221000455;211000101;1;1;3;8;0;4194308;3;0;;fi;t;;;;
fissions;221000456;211000101;1;2;3;16;0;4194308;17825795;0;;fisïô;z;;;;
fissiez;221000457;211000101;1;3;3;32;0;4194308;3;0;;fisïé;z;;;;
fissent;221000458;211000101;1;2;3;64;0;4194308;3;0;;fis;^t;;;;
fait;221000459;211000101;1;1;1;14;0;1048640;26279939;5474;0;fè;t;;;27.12.2006 15:31:02;WEHRLI
faite;221000460;211000101;1;1;2;8;0;1048640;9437187;215;;fèt;;;;8.12.2004 14:48:13;LINGPRD
faits;221000461;211000101;1;2;1;64;0;1048640;26279939;59;;fè;z;;;8.12.2004 14:48:13;LINGPRD
faites;221000462;211000101;1;2;2;64;0;1048640;9437187;80;;fèt;z;;;8.12.2004 14:48:11;LINGPRD
faisant;221000463;211000101;1;3;3;72;0;1048608;3;341;;f^zâ;t;;;15.11.2001 18:21:09;GOLDMAN
et;221000527;211045108;6;0;0;0;0;0;65537;57938;;é;;;;;
ne;221000642;211045203;5;0;0;0;0;0;67174401;19779;;n^;;;;12.7.2009 17:09:34;WEHRLI
n';221000643;211045203;5;0;0;0;0;0;33619969;18356;;n;;;;;
pas;221000725;211045283;5;0;0;0;0;0;134283267;23289;;pA;z;;;7.5.2014 09:02:27;LINGPRD
manger;221000774;211000110;1;3;3;126;0;1048577;17825795;74;;mâjé;;;;;
mange;221000775;211000110;1;1;3;10;0;5242882;65539;33;;mâj;;;;6.8.2004 11:20:56;WEHRLI
manges;221000776;211000110;1;1;3;4;0;5242882;3;1;;mâj;z;;;;
mangeons;221000777;211000110;1;2;3;16;0;3145730;3;1;;mâjô;z;;;;
mangez;221000778;211000110;1;3;3;32;0;3145730;3;1;;mâjé;z;;;;
mangent;221000779;211000110;1;2;3;64;0;5242882;3;13;;mâj;^t;;;;
mangeais;221000780;211000110;1;1;3;6;0;1048580;3;1;;mâjè;z;;;;
mangeait;221000781;211000110;1;1;3;8;0;1048580;3;9;;mâjè;t;;;;
mangions;221000782;211000110;1;2;3;16;0;1048580;3;2;;mâjïô;z;;;;
mangiez;221000783;211000110;1;3;3;32;0;1048580;3;0;;mâjïé;z;;;;
mangeaient;221000784;211000110;1;2;3;64;0;1048580;3;1;;mâjè;t;;;;
mangeai;221000785;211000110;1;1;3;2;0;1048584;3;0;;mâjé;;;;;
mangeas;221000786;211000110;1;1;3;4;0;1048584;3;0;;mâja;z;;;;
mangea;221000787;211000110;1;1;3;8;0;1048584;3;0;;mâja;;;;;
mangeâmes;221000788;211000110;1;2;3;16;0;1048584;3;0;;mâjAm;z;;;;
mangeâtes;221000789;211000110;1;3;3;32;0;1048584;3;0;;mâjAt;z;;;;
mangèrent;221000790;211000110;1;2;3;64;0;1048584;3;0;;mâjèr;^t;;;;
mangerai;221000791;211000110;1;1;3;2;0;1048592;3;0;;mâj@ré;;;;25.9.2002 09:31:49;LINGPRD
mangeras;221000792;211000110;1;1;3;4;0;1048592;3;0;;mâj@ra;z;;;25.9.2002 09:31:49;LINGPRD
mangera;221000793;211000110;1;1;3;8;0;1048592;3;4;;mâj@ra;;;;25.9.2002 09:31:49;LINGPRD
mangerons;221000794;211000110;1;2;3;16;0;1048592;3;1;;mâj@rô;z;;;25.9.2002 09:31:49;LINGPRD
mangerez;221000795;211000110;1;3;3;32;0;1048592;3;0;;mâj@ré;z;;;25.9.2002 09:31:49;LINGPRD
mangeront;221000796;211000110;1;2;3;64;0;1048592;3;2;;mâj@rô;t;;;25.9.2002 09:31:49;LINGPRD
mangions;221000797;211000110;1;2;3;16;0;4194306;3;0;;mâjïô;z;;;;
mangiez;221000798;211000110;1;3;3;32;0;4194306;3;0;;mâjïé;z;;;;
mangeasse;221000799;211000110;1;1;3;2;0;4194308;3;0;;mâjas;;;;;
mangeasses;221000800;211000110;1;1;3;4;0;4194308;3;0;;mâjas;z;;;;
mangeât;221000801;211000110;1;1;3;8;0;4194308;3;0;;mâjA;t;;;;
mangeassions;221000802;211000110;1;2;3;16;0;4194308;3;0;;mâjasïô;z;;;;
mangeassiez;221000803;211000110;1;3;3;32;0;4194308;3;0;;mâjasïé;z;;;;
mangeassent;221000804;211000110;1;2;3;64;0;4194308;3;0;;mâjas;^t;;;;
mangerais;221000805;211000110;1;1;3;6;0;8388610;3;0;;mâj@rè;z;;;25.9.2002 09:31:49;LINGPRD
mangerait;221000806;211000110;1;1;3;8;0;8388610;3;1;;mâj@rè;t;;;25.9.2002 09:31:49;LINGPRD
mangerions;221000807;211000110;1;2;3;16;0;8388610;3;0;;mâj^rïô;z;;;;
mangeriez;221000808;211000110;1;3;3;32;0;8388610;3;0;;mâj^rïé;z;;;;
mangeraient;221000809;211000110;1;2;3;64;0;8388610;3;1;;mâj@rè;t;;;25.9.2002 09:32:03;LINGPRD
mangeant;221000810;211000110;1;3;3;126;0;1048608;3;1;;mâjâ;t;;;;
mangé;221000811;211000110;1;1;1;14;0;1048640;3;21;;mâjé;;;;;
mangés;221000812;211000110;1;2;1;112;0;1048640;3;1;;mâjé;z;;;;
mangée;221000813;211000110;1;1;2;14;0;1048640;3;1;;mâjé;;;;;
mangées;221000814;211000110;1;2;2;112;0;1048640;3;1;;mâjé;z;;;;
aimer;221000825;211000116;1;3;3;126;0;1048577;3;55;;émé;;;;;
aime;221000826;211000116;1;1;3;10;0;5242882;3;405;;èm;;;;9.12.2003 09:57:58;LINGPRD
aimes;221000827;211000116;1;1;3;4;0;5242882;3;4;;èm;z;;;28.11.2001 11:40:53;GAUDINAT
aimons;221000828;211000116;1;2;3;16;0;3145730;3;15;;émô;z;;;26.11.2001 16:32:04;GAUDINAT
aimez;221000829;211000116;1;3;3;32;0;3145730;3;8;;émé;z;;;26.11.2001 16:32:04;GAUDINAT
aiment;221000830;211000116;1;2;3;64;0;5242882;3;112;;èm;^t;;;28.11.2001 11:40:53;GAUDINAT
aimais;221000831;211000116;1;1;3;6;0;1048580;3;16;;émè;z;;;26.11.2001 16:32:03;GAUDINAT
aimait;221000832;211000116;1;1;3;8;0;1048580;3;46;;émè;t;;;26.11.2001 16:32:03;GAUDINAT
aimions;221000833;211000116;1;2;3;16;0;1048580;3;0;;émïô;z;;;26.11.2001 16:32:04;GAUDINAT
aimiez;221000834;211000116;1;3;3;32;0;1048580;3;0;;émïé;z;;;26.11.2001 16:32:04;GAUDINAT
aimaient;221000835;211000116;1;2;3;64;0;1048580;3;12;;émè;t;;;26.11.2001 16:32:03;GAUDINAT
aimai;221000836;211000116;1;1;3;2;0;1048584;3;0;;émé;;;;26.11.2001 16:32:03;GAUDINAT
aimas;221000837;211000116;1;1;3;4;0;1048584;3;0;;éma;z;;;26.11.2001 16:32:03;GAUDINAT
aima;221000838;211000116;1;1;3;8;0;1048584;3;1;;éma;;;;26.11.2001 16:32:03;GAUDINAT
aimâmes;221000839;211000116;1;2;3;16;0;1048584;3;0;;émAm;z;;;21.8.2002 17:22:01;GAUDINAT
aimâtes;221000840;211000116;1;3;3;32;0;1048584;3;0;;émAt;z;;;26.11.2001 16:32:04;GAUDINAT
aimèrent;221000841;211000116;1;2;3;64;0;1048584;3;1;;émèr;^t;;;26.11.2001 16:32:04;GAUDINAT
aimerai;221000842;211000116;1;1;3;2;0;1048592;3;3;;ém@ré;;;;25.9.2002 09:32:05;LINGPRD
aimeras;221000843;211000116;1;1;3;4;0;1048592;3;1;;ém@ra;z;;;25.9.2002 09:31:33;LINGPRD
aimera;221000844;211000116;1;1;3;8;0;1048592;3;0;;ém@ra;;;;25.9.2002 09:31:33;LINGPRD
aimerons;221000845;211000116;1;2;3;16;0;1048592;3;0;;ém@rô;z;;;25.9.2002 09:31:33;LINGPRD
aimerez;221000846;211000116;1;3;3;32;0;1048592;3;0;;ém@ré;z;;;25.9.2002 09:31:33;LINGPRD
aimeront;221000847;211000116;1;2;3;64;0;1048592;3;3;;ém@rô;t;;;25.9.2002 09:31:33;LINGPRD
aimions;221000848;211000116;1;2;3;16;0;4194306;3;2;;émïô;z;;;26.11.2001 16:32:04;GAUDINAT
aimiez;221000849;211000116;1;3;3;32;0;4194306;3;3;;émïé;z;;;26.11.2001 16:32:04;GAUDINAT
aimasse;221000850;211000116;1;1;3;2;0;4194308;3;0;;émas;;;;26.11.2001 16:32:03;GAUDINAT
aimasses;221000851;211000116;1;1;3;4;0;4194308;3;0;;émas;z;;;26.11.2001 16:32:04;GAUDINAT
aimât;221000852;211000116;1;1;3;8;0;4194308;3;0;;émA;t;;;26.11.2001 16:32:04;GAUDINAT
aimassions;221000853;211000116;1;2;3;16;0;4194308;3;0;;émasïô;z;;;26.11.2001 16:32:04;GAUDINAT
aimassiez;221000854;211000116;1;3;3;32;0;4194308;3;0;;émasïé;z;;;26.11.2001 16:32:04;GAUDINAT
aimassent;221000855;211000116;1;2;3;64;0;4194308;3;0;;émas;^t;;;26.11.2001 16:32:04;GAUDINAT
aimerais;221000856;211000116;1;1;3;6;0;8388610;3;60;;ém@rè;z;;;25.9.2002 09:31:33;LINGPRD
aimerait;221000857;211000116;1;1;3;8;0;8388610;3;72;;ém@rè;t;;;25.9.2002 09:32:02;LINGPRD
aimerions;221000858;211000116;1;2;3;16;0;8388610;3;23;;ém^rïô;z;;;26.11.2001 16:32:04;GAUDINAT
aimeriez;221000859;211000116;1;3;3;32;0;8388610;3;2;;ém^rïé;z;;;26.11.2001 16:32:04;GAUDINAT
aimeraient;221000860;211000116;1;2;3;64;0;8388610;3;23;;ém@rè;t;;;25.9.2002 09:31:33;LINGPRD
aimant;221000861;211000116;1;3;3;126;0;1048608;26214403;5;;émâ;t;;;8.12.2004 14:48:13;LINGPRD
aimé;221000862;211000116;1;1;1;14;0;1048640;9437187;129;;émé;;;;3.7.2009 12:18:52;LINGPRD
aimés;221000863;211000116;1;2;1;112;0;1048640;9437187;9;;émé;z;;;3.7.2009 12:18:52;LINGPRD
aimée;221000864;211000116;1;1;2;14;0;1048640;9437187;9;;émé;;;;3.7.2009 12:18:52;LINGPRD
aimées;221000865;211000116;1;2;2;112;0;1048640;9437187;0;;émé;z;;;3.7.2009 12:18:52;LINGPRD
penser;221001564;211000163;1;3;3;126;0;1048577;3;315;;pâsé;;;;;
pense;221001565;211000163;1;1;3;10;0;5242882;65539;596;;pâs;;;;9.12.2003 09:57:58;LINGPRD
penses;221001566;211000163;1;1;3;4;0;5242882;3;0;;pâs;z;;;;
pensons;221001567;211000163;1;2;3;16;0;3145730;3;61;;pâsô;z;;;;
pensez;221001568;211000163;1;3;3;32;0;3145730;3;126;;pâsé;z;;;;
pensent;221001569;211000163;1;2;3;64;0;5242882;3;140;;pâs;^t;;;;
pensais;221001570;211000163;1;1;3;6;0;1048580;3;27;;pâsè;z;;;;
pensait;221001571;211000163;1;1;3;8;0;1048580;3;113;;pâsè;t;;;;
pensions;221001572;211000163;1;2;3;16;0;1048580;17825795;15;;pâsïô;z;;;;
pensiez;221001573;211000163;1;3;3;32;0;1048580;3;0;;pâsïé;z;;;;
pensaient;221001574;211000163;1;2;3;64;0;1048580;3;28;;pâsè;t;;;;
pensai;221001575;211000163;1;1;3;2;0;1048584;3;0;;pâsé;;;;;
pensas;221001576;211000163;1;1;3;4;0;1048584;3;0;;pâsa;z;;;;
pensa;221001577;211000163;1;1;3;8;0;1048584;3;1;;pâsa;;;;;
pensâmes;221001578;211000163;1;2;3;16;0;1048584;3;0;;pâsAm;z;;;;
pensâtes;221001579;211000163;1;3;3;32;0;1048584;3;0;;pâsAt;z;;;;
pensèrent;221001580;211000163;1;2;3;64;0;1048584;3;0;;pâsèr;^t;;;;
penserai;221001581;211000163;1;1;3;2;0;1048592;3;0;;pâs@ré;;;;25.9.2002 09:31:51;LINGPRD
penseras;221001582;211000163;1;1;3;4;0;1048592;3;0;;pâs@ra;z;;;25.9.2002 09:31:51;LINGPRD
pensera;221001583;211000163;1;1;3;8;0;1048592;3;3;;pâs@ra;;;;25.9.2002 09:31:51;LINGPRD
penserons;221001584;211000163;1;2;3;16;0;1048592;3;0;;pâs@rô;z;;;25.9.2002 09:31:51;LINGPRD
penserez;221001585;211000163;1;3;3;32;0;1048592;3;0;;pâs@ré;z;;;25.9.2002 09:31:51;LINGPRD
penseront;221001586;211000163;1;2;3;64;0;1048592;3;6;;pâs@rô;t;;;25.9.2002 09:31:51;LINGPRD
pensions;221001587;211000163;1;2;3;16;0;4194306;17825795;0;;pâsïô;z;;;;
pensiez;221001588;211000163;1;3;3;32;0;4194306;3;0;;pâsïé;z;;;;
pensasse;221001589;211000163;1;1;3;2;0;4194308;3;0;;pâsas;;;;;
pensasses;221001590;211000163;1;1;3;4;0;4194308;3;0;;pâsas;z;;;;
pensât;221001591;211000163;1;1;3;8;0;4194308;3;0;;pâsA;t;;;;
pensassions;221001592;211000163;1;2;3;16;0;4194308;3;0;;pâsasïô;z;;;;
pensassiez;221001593;211000163;1;3;3;32;0;4194308;3;0;;pâsasïé;z;;;;
pensassent;221001594;211000163;1;2;3;64;0;4194308;3;0;;pâsas;^t;;;;
penserais;221001595;211000163;1;1;3;6;0;8388610;3;0;;pâs@rè;z;;;25.9.2002 09:31:51;LINGPRD
penserait;221001596;211000163;1;1;3;8;0;8388610;3;2;;pâs@rè;t;;;25.9.2002 09:31:51;LINGPRD
penserions;221001597;211000163;1;2;3;16;0;8388610;3;0;;pâs^rïô;z;;;;
penseriez;221001598;211000163;1;3;3;32;0;8388610;3;0;;pâs^rïé;z;;;;
penseraient;221001599;211000163;1;2;3;64;0;8388610;3;1;;pâs@rè;t;;;25.9.2002 09:31:51;LINGPRD
pensant;221001600;211000163;1;3;3;126;0;1048608;3;22;;pâsâ;t;;;;
pensé;221001601;211000163;1;1;1;14;0;1048640;3;111;;pâsé;;;;;
pensés;221001602;211000163;1;2;1;112;0;1048640;3;1;;pâsé;z;;;;
pensée;221001603;211000163;1;1;2;14;0;1048640;17891331;9;;pâsé;;;;2.6.2003 10:06:22;WEHRLI
pensées;221001604;211000163;1;2;2;112;0;1048640;17891331;2;;pâsé;z;;;2.6.2003 10:06:22;WEHRLI
maison;221002609;211000273;0;1;2;8;0;0;9502723;765;;mèzô;;;;9.9.2013 11:18:30;LINGPRD
maisons;221002610;211000273;0;2;2;64;0;0;65539;181;;mèzô;z;;;29.10.2004 14:44:56;WEHRLI
jouer;221002744;211000284;1;3;3;126;0;1048577;3;642;;jwé;;;;;
